,0
346,Independence
347,Northville
348,Pflugerville
349,New Lisbon
350,Cocoa Beach
351,Lufkin
352,Allentown
353,West Orange
354,Anniston
355,Cold Spring
356,Marathon
357,Westland
358,Shiner
359,Prescott Valley
360,Bethel
361,Saint Charles
362,Rochester
363,East Rutherford
364,Gold River
365,Vancouver
366,Fayetteville
367,Bonita Springs
368,Saugus
369,Cherry Grove
370,Littleton
371,Findlay
372,Frisco
373,West Chester
374,Rockville
375,Walnut Creek
376,Greenville
377,St. Clair
378,Lorain
379,Saratoga Springs
380,Billings
381,Winterset
382,Griffith
383,Cedar Rapids
384,Cornelius
385,Crystal River
386,New Orleans
387,Fontana
388,Santa Fe Springs
389,Woodland Hills
390,Feather Sound
391,Sparta
392,La Habra
393,Jamestown
394,Denver
395,Waikele
396,Columbia
397,Tarzana
398,Middletown
399,Winner
400,New Rochelle
401,Slidell
402,Palmdale
403,Mississauga
404,Pharr
405,Santa Ana
406,Glenview
407,Madison
408,Folsom
409,Scarborough
410,Athens
411,Rogers
412,Cedar City
413,Merrifield
414,Manassas
415,Austintown
416,Concord
417,South Salt Lake
418,Kirkland
419,Four Corners
420,Nashville
421,East Grand Rapids
422,Coldwater
423,Fountain Valley
424,East Peoria
425,Belgrade
426,Milan
427,Wade Hampton
428,Santa Monica
429,Garden Grove
430,Southfield
431,Yuba City
432,Chamblee
433,Wichita
434,St. Simons
435,Piney Green
436,Brookfield
437,Richland Center
438,Brea
439,New Braunfels
440,Harrisburg
441,Crandon
442,Rancho Cordova
443,Princeton
444,Hialeah
445,Boulder
446,Mission
447,Holbrook
448,Kutztown University
449,Fairfax
450,Abilene
451,San Fernando
452,Bossier City
453,Yorba Linda
454,Carrollton
455,Tigard
456,Mountain Home
457,Kalaoa
458,Harbinger
459,Bohemia
460,Seattle
461,Hampton
462,Cape Coral
463,Lumberton
464,Brighton
465,Loganville
466,Red Hill
467,Rocky Hill
468,Franklin Center
469,Rock Hill
470,Juno Beach
471,McConnell AFB
472,Aventura
473,Cutler Bay
474,Corpus Christi
475,Port Clinton
476,Middle Village
477,Roosevelt Park
478,Wolfeboro
479,Harker Heights
480,Encino
481,Barrie
482,Vineland
483,Elizabethtown
484,Zionsville
485,Stockton
486,South Gate
487,North Charleston
488,Fort Worth
489,Lemont Furnace
490,Iselin
491,Woodstock
492,Princeville
493,Punta Gorda
494,Hanover Township
495,Kissimmee
496,Chino Hills
497,Fond du Lac
498,Margate
499,New Castle
500,Saint Petersburg
501,North Bergen
502,Aspen Hill
503,Sulphur Springs
504,Bryn Mawr
505,Carpentersville
506,Chagrin Falls
507,Belle Glade
508,Hartwell
509,Newnan
510,Fort Smith
511,Buena Park
512,Cornelia
513,Port Charlotte
514,Lake Mohawk
515,San Juan Capistrano
516,West Haven
517,Roseville
518,Moscow
519,Fullerton
520,New Berlin
521,Glendale
522,Dunwoody
523,Stigler
524,Plainview
525,Lexington Park
526,Chapel Hill
527,Gilbert
528,Hamilton
529,Katy
530,Farmington Hills
531,White Marsh
532,Mayo
533,Damariscotta
534,Fall River
535,Amherst
536,Dodgeville
537,Forestville
538,Ellicott City
539,Elkins
540,Mesa
541,Willow Grove
542,Binghamton
543,Elmsford
544,Bellevue
545,Galena
546,Maryville
547,Port Moody
548,Port Saint Lucie
549,American Canyon
550,Tamarac
551,Essexville
552,Overland Park
553,Bridge City
554,Lincolnton
555,Bristol
556,Pantego
557,Miami Springs
558,Farmers Branch
559,Wynnewood
560,Appleton
561,North Myrtle Beach
562,Chapin
563,Tempe
564,Eau Claire
565,Fox Lake
566,Hopewell Junction
567,Seymour
568,Pembroke Pines
569,Edmond
570,Van Nuys
571,Caldwell
572,Ceres
573,Fort Collins
574,Moultrie
575,West Deptford
576,Vacaville
577,Saskatoon
578,Whittier
579,Yorketown
580,Moore
581,Mount Pleasant
582,Alpine
583,Tulsa
584,Grand Prairie
585,Uvalde
586,Oakland
587,Granby
588,Waimalu
589,Hayward
590,West Carson
591,Cape Girardeau
592,Gulfport
593,Kenosha
594,Claremont
595,Millington
596,Lincoln
597,O Fallon
598,Elmwood
599,Corning
600,Irvine
601,Norcross
602,Pueblo
603,Burnaby
604,Bowling Green
605,Duluth
606,Kelowna
607,Safford
608,Bend
609,Burlington
610,Fort Knox
611,Calhoun
612,Temple Terrace
613,Spokane
614,Hyattsville
615,Fridley
616,Tonawanda
617,Oak Ridge North
618,Saint Paul
619,Visalia
620,Dedham
621,Sacramento
622,Newport Beach
623,Stamford
624,Macomb
625,Helotes
626,Paragould
627,Pearl
628,Laconia
629,Pike Road
630,Tionesta
631,Sherwood Park
632,Everett
633,Cape May Court House
634,Wind Gap
635,Anchorage
636,Apollo
637,Roseburg
638,Provo
639,Parkwood
640,Woodside
641,Pensacola
642,Minturn
643,Gardena
644,Boca Raton
645,Hollister
646,North York
647,Washington
648,Sandy
649,Adel
650,South Bend
651,Brownsville
652,Cazenovia
653,Grandville
654,North Highlands
655,Cleveland
656,Southlake
657,Fenton
658,Derry
659,Mc Connellsburg
660,Commerce
661,Oakville
662,Providence
663,Smyrna
664,Fort Pierce
665,Rosemead
666,Dickinson
667,Cary
668,Delray Beach
669,Laguna Beach
670,Miamisburg
671,Winchester
672,Cloverdale
673,Huntington Beach
674,Flagstaff
675,West St. Paul
676,Fremont
677,Wilton Manors
678,Moorhead
679,Sherman Oaks
680,Riverhead
681,Bismarck
682,Winter Garden
683,Pearl City
684,Madera
685,Quincy
686,Toledo
687,Bryan
688,Boulder City
689,Glen Ellyn
690,Bozeman
691,Traverse City
692,Franklin
693,Lawrenceburg
694,Miami Lakes
695,Burke
696,Ann Arbor
697,Oak Park Heights
698,Mount Prospect
699,Lincoln Park
700,Chico
701,Bandon
702,Tacoma
703,Diamond Bar
704,East Brunswick
705,Greenwood
706,Show Low
707,Middleburg
708,Chesterbrook
709,Asheville
710,Lisle
711,Heavener
712,Gary
713,College Park
714,Jefferson
715,Wallace
716,Sharonville
717,Conyers
718,Roanoke
719,North Fair Oaks
720,Menomonie
721,Kennesaw
722,Huntington
723,North Manchester
724,Liverpool
725,Logansport
726,Towanda
727,Wyalusing
728,Elk Grove Village
729,Boone
730,Eaton
731,Jasper
732,Balfour
733,Eugene
734,Waukesha
735,Mahwah
736,Plant City
737,Wyoming
738,South Boston
739,Chaska
740,Kendallville
741,Georgetown
742,Green Bay
743,Lenexa
744,Chillicothe
745,Alma
746,Riverton
747,Portage
748,Newtown
749,Forty Fort
750,Colorado Springs
751,Natchez
752,Milpitas
753,Huntsville
754,Golden Valley
755,Grove City
756,Elizabeth
757,Glendale Heights
758,Santee
759,Terre Haute
760,Somerdale
761,Hamden
762,Park City
763,Coopersville
764,Saint Albans
765,Midway
766,Menomonee Falls
767,Muscatine
768,Trenton
769,Siloam Springs
770,Franklinton
771,Anna
772,Ocala
773,Milton
774,Fort Wayne
775,South Jordan
776,Cedar Springs
777,Avon
778,La Porte
779,Hoxie
780,Clifton
781,New Holland
782,Glasgow
783,Bremen
784,Medulla
785,Smethport
786,Cedar Knolls
787,Perry
788,Stow
789,Sun Valley
790,Sandpoint
791,Natick
792,Hardinsburg
793,New Philadelphia
794,Hoisington
795,Saginaw
796,Van Buren
797,Etna
798,Pikeville
799,Hutchinson
800,Dothan
801,Waco
802,Michigan City
803,Collinsville
804,Poway
805,West Valley City
806,Glenburn
807,Lake Villa
808,Logan
809,Sumter
810,South Plainfield
811,Plymouth
812,Pennsauken
813,Montebello
814,Samoset
815,Naalehu
816,Florence
817,Oak Grove
818,Minneapolis
819,Jackson Center
820,Fife
821,New Sharon
822,Shrewsbury
823,Monroe
824,Perryville
825,Kealakekua
826,San Carlos Park
827,Morton
828,New Smyrna Beach
829,Graham
830,Gallipolis Ferry
831,Goodyear
832,Newington
833,Kinards
834,Ashland
835,Commerce City
836,Climax
837,Effingham
838,Arthur
839,Middlesex
840,Telford
841,Laredo
842,Paris
843,North New Hyde Park
844,Parsippany
845,Longmont
846,Watertown
847,Mount Carmel
848,Dillon
849,Gettysburg
850,Boswell
851,North Hollywood
852,Cuyahoga Heights
853,Clearwater
854,Plain City
855,Dalton
856,Hendersonville
857,Rockford
858,Le Sueur
859,Golden City
860,Sterling
861,Manchester
862,Pleasant Prairie
863,Port Washington North
864,Lewis Center
865,Lubbock
866,Mentor
867,Newton
868,Linwood
869,Denville
870,Sterling Heights
871,Liberty Lake
872,Paterson
873,Las Cruces
874,Latrobe
875,Moraine
876,Gonzales
877,Mondovi
878,Lewisburg
879,Gantt
880,Worcester
881,Somerset
882,Granite City
883,Conway
884,Tucson
885,Erie
886,Loudon
887,Alameda
888,Gretna
889,Doral
890,El Dorado
891,Mount Laurel
892,Bayonne
893,New Ulm
894,Long Beach
895,Broadview
896,South Woodstock
897,Versailles
898,West Wareham
899,Billerica
900,Amory
901,Stanwood
902,Urbana
903,Watkinsville
904,Maplewood
905,Burleson
906,Schaumburg
907,Morton Grove
908,Newmarket
909,West New York
910,Thornhill
911,New Westminster
912,El Paso
913,Regina
914,Dyersburg
915,Québec
916,Gateway
917,Garden City
918,Owings Mills
919,Fort Lee
920,Lyons
921,South St. Paul
922,Wilsonville
923,Grafton
924,La Crosse
925,Cutlerville
926,Richmond Hill
927,Albion
928,Elmira
929,Port Coquitlam
930,Port Jervis
931,Dixon
932,Grapevine
933,Williamsville
934,Rapid City
935,Solana Beach
936,Jarrell
937,Racine
938,Scottsdale
939,Bradenton
940,El Monte
941,Jonesboro
942,Winter Park
943,Loose Creek
944,White Plains
945,Orland Park
946,Rolling Hills Estates
947,Blue Clay Farms
948,Magnolia
949,Roselawn
950,Greeley
951,Largo
952,Vienna
953,Warminster
954,Victoria
955,Apopka
956,Federal Way
957,Murray
958,Shannon
959,Durango
960,McLean
961,Stockbridge
962,Casper
963,Clayton
964,Chula Vista
965,Oneonta
966,Azle
967,Belle Haven
968,East Tawas
969,Ellicottville
970,Southampton
971,Magog
972,Daleville
973,Laguna Hills
974,Hayesville
975,Sand Springs
976,Holyoke
977,Artesia
978,Lyndhurst
979,Woodbridge
980,Daphne
981,Vero Beach
982,Lindsay
983,Mamaroneck
984,Cookeville
985,Flagler Beach
986,San Anselmo
987,Lapeer
988,Kingsville
989,Saint-Jérôme
990,White Bear Lake
991,Ontario
992,Chattanooga
993,Greenwood Village
994,LaSalle
995,Centerville
996,Kalona
997,San Saba
998,Long Branch
999,DuPont
1000,Russell Springs
1001,New Stanton
1002,Edmonton
1003,Galway
1004,Ingram
1005,Peachtree Corners
1006,Snyder
1007,Dunlap
1008,Auburn
1009,Rochelle Park
1010,Keosauqua
1011,Sylmar
1012,Lemoyne
1013,Point Roberts
1014,Lake Nebagamon
1015,Mammoth Lakes
1016,Saegertown
1017,Homerville
1018,Lititz
1019,Westport
1020,Portsmouth
1021,Imperial
1022,Page
1023,Shipshewana
1024,Baltimore
1025,Rainbow City
1026,Blackwood
1027,East Hanover
1028,Vaughan
1029,Prather
1030,North Liberty
1031,Joplin
1032,North Kansas City
1033,Clay Center
1034,Bonifay
1035,Opelika
1036,Valdese
1037,Dundee
1038,Indianola
1039,Manning
1040,Leonia
1041,Pembroke Park
1042,Hyannis
1043,Tyler
1044,Irving
1045,Alexandria
1046,Escondido
1047,Three Rivers
1048,Farmingdale
1049,Pawhuska
1050,Pineville
1051,North Bay
1052,Jefferson City
1053,Lenoir City
1054,Whitby
1055,Fairless Hills
1056,El Prado
1057,Boucherville
1058,LaFayette
1059,Mishawaka
1060,Angel Fire
1061,Harlingen
1062,Cumming
1063,Lakes
1064,Garner
1065,Kodiak
1066,Tazewell
1067,Huntington Park
1068,Grand Haven
1069,Quitman
1070,View Park-Windsor Hills
1071,Statesville
1072,Dawsonville
1073,Geneva
1074,North Tunica
1075,Rodney Village
1076,Bainbridge Island
1077,Gibsonville
1078,Easley
1079,Fuquay-Varina
1080,Valparaiso
1081,Arroyo Grande
1082,Bala Cynwyd
1083,Muskegon Heights
1084,Highlands
1085,Deerfield Beach
1086,Galion
1087,Pahrump
1088,Malden
1089,Beaver Dam
1090,Cannon Beach
1091,Lock Haven
1092,Boardman
1093,Livingston
1094,Bellingham
1095,Santa Rosa Beach
1096,Randolph Town
1097,Wesley Chapel
1098,Unionville
1099,Danville
1100,Moss Bluff
1101,Hanalei
1102,Rosemount
1103,Cairo
1104,Ridgecrest
1105,Detroit
1106,Olathe
1107,Pompton Plains
1108,Conroe
1109,Addison
1110,St. Augustine
1111,Springville
1112,Meridian
1113,Sayville
1114,Hagerstown
1115,McAllen
1116,West Monroe
1117,Laurel
1118,Jekyll Island
1119,Miami Beach
1120,Riverview
1121,Carson
1122,Lake Orion
1123,Shreveport
1124,Kingwood
1125,Estes Park
1126,Cullowhee
1127,Towson
1128,Kamloops
1129,Sunset Beach
1130,Murphy
1131,New Concord
1132,Helen
1133,Palm Coast
1134,Clive
1135,Dakota Ridge
1136,Pearland
1137,Hattiesburg
1138,Coral Gables
1139,Montclair
1140,Port Perry
1141,Highland Park
1142,Englishtown
1143,Floral Park
1144,Mukilteo
1145,Easton
1146,Lake Buena Vista
1147,Camas
1148,Bountiful
1149,Simcoe
1150,Pontotoc
1151,Vinton
1152,Central Falls
1153,Aspen
1154,Hallandale Beach
1155,Pleasanton
1156,Surrey
1157,Andover
1158,Noblesville
1159,El Campo
1160,Venice
1161,Perris
1162,Fresh Meadows
1163,Sandy Springs
1164,Asbury Park
1165,Watsonville
1166,Kingsport
1167,Bell Gardens
1168,Torrance
1169,Pittsfield
1170,Hill Country Village
1171,Lima
1172,Westminster
1173,Nichols Hills
1174,Ottawa
1175,Arcadia
1176,Hickory
1177,Lynnwood
1178,Leavenworth
1179,Evansville
1180,East Orange
1181,Crescent City
1182,Saint-Laurent
1183,Gig Harbor
1184,Atwater
1185,Cedar Park
1186,Cocoa
1187,Lauderhill
1188,Lake City
1189,Atlantic City
1190,Greentree
1191,Sevierville
1192,Leamington
1193,West Hollywood
1194,Myrtle Beach
1195,Lakeland
1196,Norwood
1197,Suffolk
1198,Sturgis
1199,West Covina
1200,Merrick
1201,Pawleys Island
1202,Coeur D Alene
1203,San Luis Obispo
1204,Midlothian
1205,Mount Sterling
1206,Shaker Heights
1207,Peterborough
1208,Amarillo
1209,Hinesville
1210,Kenner
1211,Mashpee
1212,Beechwood
1213,Iowa City
1214,Petoskey
1215,Orange
1216,Haleiwa
1217,Johnstown
1218,Middleton
1219,Briarwood
1220,Banning
1221,Bloomington
1222,Frederick
1223,Lahaina
1224,Longview
1225,Saint George
1226,Hollywood
1227,Colesville
1228,Laramie
1229,Weslaco
1230,New London
1231,Ste. Genevieve
1232,West Allis
1233,Fresno
1234,Fort Washington
1235,Milford
1236,Hawkinsville
1237,La Grange
1238,Redding
1239,Americus
1240,Herscher
1241,Salisbury
1242,Hauppauge
1243,Baldwinsville
1244,Marina
1245,St Petersburg
1246,Norwich
1247,Arkansas City
1248,Daytona Beach
1249,Libertyville
1250,Dawson
1251,Milwaukee
1252,Hot Springs
1253,Hopedale
1254,Casselberry
1255,Lomita
1256,Reston
1257,Rocky River
1258,Wauwatosa
1259,Orbisonia
1260,Cameron
1261,Sheridan
1262,Ocilla
1263,Merriam
1264,Willimantic
1265,Platte City
1266,Edgewater
1267,Placerville
1268,Brownwood
1269,Warren
1270,Bluffton
1271,Idabel
1272,Clarksburg
1273,Summerville
1274,Grand Junction
1275,Ellijay
1276,Newburgh
1277,Cranston
1278,Austell
1279,Dimmitt
1280,Livonia
1281,Stone Mountain
1282,Killeen
1283,Union City
1284,Whippany
1285,Mint Hill
1286,Brunswick
1287,Chisago City
1288,Bel Air
1289,Hazlet
1290,Glen Burnie
1291,River Edge
1292,Plainfield
1293,Lawrence
1294,Dadeville
1295,Nepean
1296,Somerville
1297,Grand Rapids
1298,Beaverton
1299,Payson
1300,Mehlville
1301,Creve Coeur
1302,Old Lyme
1303,Kearney
1304,Bloomfield
1305,Broken Arrow
1306,Skokie
1307,Sioux City
1308,Monona
1309,Melville
1310,Ozone Park
1311,Brandermill
1312,Paoli
1313,Wellesley
1314,Millburn
1315,Bloomfield Hills
1316,West Columbia
1317,New Bedford
1318,Teaneck
1319,Mansfield
1320,Ocean
1321,Chino
1322,Tarrytown
1323,Hill City
1324,Sarasota
1325,Little Silver
1326,Alabaster
1327,Lawton
1328,South Orange
1329,Carbondale
1330,Tabernash
1331,Cusseta
1332,Coral Springs
1333,Cherry Hill Mall
1334,Butler
1335,Lewiston
1336,Ardmore
1337,Hightstown
1338,North Miami
1339,Salinas
1340,Boynton Beach
1341,Haddonfield
1342,Hilliard
1343,Woodbury
1344,Seven Devils
1345,Fredonia
1346,Chicora
1347,Roseland
1348,Adrian
1349,Jenison
1350,Covington
1351,Inglewood
1352,Peekskill
1353,Tamaqua
1354,Dania Beach
1355,Fair Lawn
1356,Macon
1357,Richardson
1358,Idaho Falls
1359,University Heights
1360,Wilbur
1361,El Dorado Hills
1362,La Verne
1363,West Conshohocken
1364,Newport East
1365,West Kelowna
1366,Mountain Brook
1367,Rialto
1368,Mobile
1369,Woburn
1370,Haines City
1371,Carmel
1372,Dumont
1373,Myerstown
1374,Sebring
1375,Brookville
1376,Rye Brook
1377,Williston
1378,Grass Valley
1379,Keene
1380,Hinsdale
1381,Forney
1382,South Portland
1383,Bad Axe
1384,Lake Arrowhead
1385,Longwood
1386,Moreno Valley
1387,Langley
1388,San Angelo
1389,Elgin
1390,Virginia Beach
1391,Merced
1392,Plaistow
1393,Tustin
1394,Flint
1395,Corry
1396,Snohomish
1397,Layton
1398,Englewood
1399,Ho-Ho-Kus
1400,Cheyenne
1401,McAlester
1402,Farragut
1403,Lake Ridge
1404,Nassau Bay
1405,Calabasas
1406,Greece
1407,Boise
1408,Dickson
1409,Rancho Santa Fe
1410,Brockton
1411,Miramar
1412,Los Altos
1413,Rockland
1414,Braintree
1415,Little Rock
1416,Santa Clara
1417,Whistler
1418,Chesapeake
1419,Parker
1420,Lawrenceville
1421,Lake Mary
1422,Westerville
1423,Napa
1424,Cockeysville
1425,Dulles Town Center
1426,Winston
1427,Akron
1428,North Las Vegas
1429,Karnes City
1430,Abington
1431,Grandview Heights
1432,Velva
1433,Webster
1434,King of Prussia
1435,Media
1436,Owen Sound
1437,Pawtucket
1438,Hanover
1439,Apollo Beach
1440,St George
1441,Annapolis
1442,Castle Rock
1443,Brookhaven
1444,Kaunakakai
1445,Red Lion
1446,Virginia Gardens
1447,Monterey
1448,Olympia
1449,Tullahoma
1450,Hawthorne
1451,Norwalk
1452,Wake Forest
1453,North Andover
1454,Severna Park
1455,Kalamazoo
1456,Barstow
1457,New Providence
1458,Bracebridge
1459,Canmore
1460,Hedwig Village
1461,Bayonet Point
1462,Albany
1463,Fredericton
1464,Sylvania
1465,Owensboro
1466,Franklin Square
1467,Bon Air
1468,Bethesda
1469,Arkadelphia
1470,Blowing Rock
1471,Lake Charles
1472,Minnetonka
1473,Kerman
1474,Branson
1475,Courtice
1476,North Smithfield
1477,Oceanside
1478,Brockville
1479,Oak Lawn
1480,Lees Summit
1481,Paradise Valley
1482,Safety Harbor
1483,Phelan
1484,Sugar Hill
1485,Lynn
1486,River Vale
1487,Great Neck
1488,Manasquan
1489,Security-Widefield
1490,Chalfont
1491,Cascades
1492,Port Orange
1493,Milwaukie
1494,Arvada
1495,Annandale
1496,Johnston
1497,Spring Hill
1498,Barnegat
1499,Beech Grove
1500,Troutdale
1501,Gresham
1502,Whiteville
1503,Prosper
1504,Allston
1505,Marlton
1506,Bedford Hills
1507,Adelphi
1508,Algonquin
1509,Osceola
1510,Waipio
1511,Garfield
1512,Sun City
1513,Hempstead
1514,Lodi
1515,Avondale
1516,Golden
1517,Litchfield Park
1518,Germantown
1519,Ventnor City
1520,Hyde Park
1521,Corona
1522,Ada
1523,Brawley
1524,Morrilton
1525,Taylor
1526,Seminole
1527,Coconut Creek
1528,Linthicum
1529,Town and Country
1530,London
1531,Ankeny
1532,Hanscom AFB
1533,Missouri City
1534,Lakeside
1535,Waite Park
1536,Tucker
1537,Sanford
1538,Hillsborough
1539,Victorville
1540,New Albany
1541,Porterville
1542,Cerritos
1543,Johnson City
1544,Palm Bay
1545,Southaven
1546,South Ogden
1547,Ellisville
1548,New Milford
1549,West Haven-Sylvan
1550,Windermere
1551,Wichita Falls
1552,Lake Jackson
1553,Santa Cruz
1554,Bettendorf
1555,McKinney
1556,Peru
1557,Pikesville
1558,Tifton
1559,Wayland
1560,Snellville
1561,Bedford
1562,Wellington
1563,Lutz
1564,Indian Wells
1565,Mayfield
1566,Plantation
1567,Colby
1568,Radford
1569,Denton
1570,Pretty Bayou
1571,St. Ann
1572,Rockville Centre
1573,Lake Stevens
1574,Pendleton
1575,Leonardtown
1576,Lake Worth
1577,Bronxville
1578,Perry Hall
1579,Plattsburgh
1580,Titusville
1581,Glastonbury Center
1582,Palm Desert
1583,Kankakee
1584,Bowmanville
1585,Hermitage
1586,Winter Haven
1587,Sycamore
1588,Mason
1589,Chanhassen
1590,Fillmore
1591,Soulsbyville
1592,Francesville
1593,Brooksville
1594,Hitchcock
1595,Fort Bragg
1596,Zephyrhills South
1597,Summerfield
1598,Cotter
1599,Williams
1600,Pryor Creek
1601,Fairhaven
1602,Nebo
1603,Gas City
1604,Williamstown
1605,Watauga
1606,Hilton
1607,Terrell
1608,Mack
1609,Smithville
1610,Wadena
1611,Cicero
1612,East Ellijay
1613,Balch Springs
1614,Texanna
1615,Campbellsville
1616,Oakland Park
1617,Hollis
1618,Garwood
1619,Whitehall
1620,City of Industry
1621,Rancho Cucamonga
1622,Mount Olive
1623,Hammond
1624,Harlan
1625,Lake Elsinore
1626,Highland
1627,Orchards
1628,Mercer
1629,Noonday
1630,Williamson
1631,Trail Creek
1632,Haleyville
1633,Newbern
1634,Wilkesboro
1635,Barclay
1636,Greenleaf
1637,Ypsilanti
1638,Anadarko
1639,Beckett Ridge
1640,Kahului
1641,Mount Orab
1642,White Lake
1643,Chatsworth
1644,Pleasant Grove
1645,Tompkinsville
1646,Glendora
1647,Millbury
1648,Sierra Vista
1649,Kalispell
1650,Mesquite
1651,Round Lake Beach
1652,Whitmore Village
1653,Beaufort
1654,Boyne Falls
1655,Hebron
1656,DeSoto
1657,Madisonville
1658,Wendell
1659,Guntersville
1660,Northborough
1661,Mazeppa
1662,Gallup
